Material,Spec. No.,Type/Grade ,UNS No.,Class/ Condition/ Temper,"Size, In.",P-No.,Notes,Min Temp °F,"Specified Min. Tensile Strength, ksi","Specified Min. Yield Strength, ksi",0,200,300,400,500,600,650,700,750,800,850,900,950,"1,000","1,050","1,100",Type/ Grade,Spec. No.
Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipes and Tubes (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
A285 Gr. A,A134,...,...,...,...,1,(8b)(57),B,45,24,15,14.7,14.2,13.7,13,12.3,11.9,11.5,10.7,9.2,7.9,5.9,...,...,...,...,...,A134
A285 Gr. A,A672,A45,K01700,...,...,1,(57)(59)(67),B,45,24,15,14.7,14.2,13.7,13,12.3,11.9,11.5,10.7,9.2,7.9,5.9,4,2.5,1.6,1,A45,A672
Butt weld,API 5L,A25,...,...,...,1,(8a)(77),?20,45,25,15,15,14.7,14.2,...,...,...,...,...,...,...,...,...,...,...,...,A25,API 5L
Smls & ERW,API 5L,A25,...,...,...,1,(57)(59)(77),B,45,25,15,15,14.7,14.2,...,...,...,...,...,...,...,...,...,...,...,...,A25,API 5L
...,A179,...,K01200,...,...,1,(57)(59),?20,47,26,15.7,15.7,15.3,14.8,14.1,13.3,12.8,12.4,10.7,9.2,7.9,5.9,4,2.5,1.6,1,...,A179
Type F,A53,A,K02504,...,...,1,(8a),20,48,30,16,16,16,16,...,...,...,...,...,...,...,...,...,...,...,...,A,A53
...,A139,A,...,...,...,1,(8b),A,48,30,16,16,16,...,...,...,...,...,...,...,...,...,...,...,...,...,A,A139
...,A587,...,K11500,...,...,1,(57)(59),?20,48,30,16,16,16,16,16,15.3,14.6,12.5,10.7,9.2,7.9,...,...,...,...,...,...,A587
...,A53,A,K02504,...,...,1,(57)(59),B,48,30,16,16,16,16,16,15.3,14.6,12.5,10.7,9.2,7.9,5.9,4,2.5,1.6,1,A,A53
...,A106,A,K02501,...,...,1,(57),B,48,30,16,16,16,16,16,15.3,14.6,12.5,10.7,9.2,7.9,5.9,4,2.5,1.6,1,A,A106
...,A135,A,...,...,...,1,(57)(59),B,48,30,16,16,16,16,16,15.3,14.6,12.5,10.7,9.2,7.9,5.9,4,2.5,1.6,1,A,A135
...,A369,FPA,K02501,...,...,1,(57),B,48,30,16,16,16,16,16,15.3,14.6,12.5,10.7,9.2,7.9,5.9,4,2.5,1.6,1,FPA,A369
...,API 5L,A,...,...,...,1,(57)(59)(77),B,48,30,16,16,16,16,16,15.3,14.6,12.5,10.7,9.2,7.9,5.9,4,2.5,1.6,1,A,API 5L
A285 Gr. B,A134,...,...,...,...,1,(8b)(57),B,50,27,16.7,16.5,15.9,15.4,14.7,13.8,13.3,12.5,10.7,9.2,7.9,5.9,...,...,...,...,...,A134
A285 Gr. B,A672,A50,K02200,...,...,1,(57)(59)(67),B,50,27,16.7,16.5,15.9,15.4,14.7,13.8,13.3,12.5,10.7,9.2,7.9,5.9,4,2.5,1.6,1,A50,A672
A285 Gr. C,A134,...,...,...,...,1,(8b)(57),A,55,30,18.3,18.3,17.7,17.1,16.3,15.3,14.8,14.3,13,10.8,8.7,5.9,...,...,...,...,...,A134
...,A524,II,K02104,...,...,1,(57),?20,55,30,18.3,18.3,17.7,17.1,16.3,15.3,14.8,14.3,13,10.8,8.7,5.9,4,2.5,...,...,II,A524
...,A333,1,K03008,...,...,1,(57)(59),?50,55,30,18.3,18.3,17.7,17.1,16.3,15.3,14.8,14.3,13,10.8,8.7,5.9,4,2.5,1.6,1,1,A333
...,A334,1,K03008,...,...,1,(57)(59),?50,55,30,18.3,18.3,17.7,17.1,16.3,15.3,14.8,14.3,13,10.8,8.7,5.9,4,2.5,1.6,1,1,A334
A285 Gr. C,A671,CA55,K02801,...,...,1,(59)(67),A,55,30,18.3,18.3,17.7,17.1,16.3,15.3,14.8,14.3,13,10.8,8.7,5.9,4,2.5,1.6,1,CA55,A671
A285 Gr. C,A672,A55,K02801,...,...,1,(57)(59)(67),A,55,30,18.3,18.3,17.7,17.1,16.3,15.3,14.8,14.3,13,10.8,8.7,5.9,4,2.5,1.6,1,A55,A672
A516 Gr. 55,A672,C55,K01800,...,...,1,(57)(67),C,55,30,18.3,18.3,17.7,17.1,16.3,15.3,14.8,14.3,13,10.8,8.7,5.9,4,2.5,1.6,1,C55,A672
A516 Gr. 60,A671,CC60,K02100,...,...,1,(57)(67),C,60,32,20,19.5,18.9,18.2,17.4,16.4,15.8,15.3,13.9,11.4,8.7,5.9,4,2.5,...,...,CC60,A671
A516 Gr. 60,A671,CB60,K02401,...,...,1,(57)(67),B,60,32,20,19.5,18.9,18.2,17.4,16.4,15.8,15.3,13.9,11.4,8.7,5.9,4,2.5,1.6,1,CB60,A671
A516 Gr. 60,A672,B60,K02401,...,...,1,(57)(67),B,60,32,20,19.5,18.9,18.2,17.4,16.4,15.8,15.3,13.9,11.4,8.7,5.9,4,2.5,1.6,1,B60,A672
A516 Gr. 60,A672,C60,K02100,...,...,1,(57)(67),C,60,32,20,19.5,18.9,18.2,17.4,16.4,15.8,15.3,13.9,11.4,8.7,5.9,4,2.5,1.6,1,C60,A672
...,A139,B,K03003,...,...,1,(8b),A,60,35,20,20,20,...,...,...,...,...,...,...,...,...,...,...,...,...,B,A139
...,A135,B,K03018,...,...,1,(57)(59),B,60,35,20,20,20,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,...,...,B,A135
...,A524,I,K02104,...,...,1,(57),?20,60,35,20,20,20,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,...,...,I,A524
...,A53,B,K03005,...,...,1,(57)(59),B,60,35,20,20,20,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,1.6,1,B,A53
...,A106,B,K03006,...,...,1,(57),B,60,35,20,20,20,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,1.6,1,B,A106
...,A333,6,K03006,...,...,1,(57),?50,60,35,20,20,20,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,1.6,1,6,A333
